exhibit_id,name,author,creation_year,acquisition_year,type,value
1,Consequatur Nam,Pieter Stashkov,514,2015,rzeźba,244253.46
2,Recusandae Alias,Mrs Jessica Roberts,859,2024,rzeźba,700503.07
3,Porro Nostrum,Marcus Singh,1102,2023,instalacja,3751.34
4,Possimus Laboriosam,Jane Barrett,1979,2021,grafika,273860.97
5,Delectus Eveniet,Mr Peter O'Neill,1982,2015,fotografia,619764.17
6,Atque Corporis,Pieter Stashkov,1617,2021,fotografia,1053593.2
7,Voluptates Laboriosam,Karen Smith,6,2020,obraz,2583458.48
8,Neque Tempora,Pieter Stashkov,668,2024,fotografia,2561.8
9,Quis Sunt,Kate Parker-Stevens,519,2018,instalacja,309989.57
10,Exercitationem Excepturi,Pieter Stashkov,1305,2015,grafika,534896.72
11,Itaque Autem,Dr Anne Atkinson,919,2017,grafika,1187938.35
12,Qui Doloremque,Pieter Stashkov,1959,2014,rzeźba,507132.21
13,Doloribus Exercitationem,Dean Wyatt,372,2019,rzeźba,110590.57
14,Dolorem Sapiente,Amelia Knowles,1446,2015,obraz,4743.31
15,Fuga Laborum,Ms Elizabeth Leach,353,2021,fotografia,3003874.53
16,Dignissimos Veniam,Dr Ryan Ward,111,2021,fotografia,55369.94
17,Porro Facere,Miss Jennifer Donnelly,1934,2014,instalacja,102826.03
18,Repellendus Optio,Dr June Wallace,419,2022,grafika,113065.12
19,Quia Similique,Dr Keith Young,58,2016,instalacja,29613.69
20,Eum Ipsa,Mrs Holly Harris,1644,2018,grafika,115256.76
21,Corrupti Placeat,Elliott Smith,1545,2015,grafika,52209.94
22,Autem Rem,Allan Hill,1303,2021,instalacja,1313361.15
23,Esse Placeat,Dean Davidson,1832,2024,fotografia,324002.69
24,Explicabo Sapiente,Tony Coleman,1406,2019,instalacja,46627.82
25,Voluptatum Harum,Hazel Mitchell,670,2023,grafika,1280852.9
26,Ea Maiores,Miss Joan Kelly,855,2015,obraz,13971.34
27,Tenetur Porro,Anthony Brooks-Allen,1945,2020,grafika,654249.46
28,Aliquam Nulla,Mr Raymond Hall,804,2016,fotografia,849187.54
29,Nisi Nobis,Max Webb,1930,2014,fotografia,443804.27
30,Maiores Est,Sylvia Bowen-Mitchell,294,2014,obraz,842010.5
31,Mollitia Perspiciatis,Pieter Stashkov,150,2016,grafika,29387.27
32,Consectetur Suscipit,Terence Moore,620,2018,fotografia,24879.62
33,Autem Deleniti,Benjamin Harding-Reeves,1281,2015,rzeźba,8903.0
34,Eos Ut,Pieter Stashkov,848,2016,fotografia,359366.91
35,Itaque Accusamus,Marc Kemp,255,2017,fotografia,350.83
36,Dignissimos Non,Jeremy Wood,1040,2023,fotografia,150923.05
37,Aliquam Modi,Pieter Stashkov,1407,2022,fotografia,72183.04
38,Laborum Iusto,Philip Green,1802,2023,fotografia,67996.2
39,Illum Hic,Liam Murphy-Dixon,1481,2015,rzeźba,157745.46
40,Nam Consectetur,Mr Brian Chapman,424,2024,instalacja,112987.14
41,Earum Illum,David Roberts,1701,2024,rzeźba,105933.33
42,Iure Eos,Gary Dawson,585,2014,rzeźba,143991.6
43,Laudantium Nisi,Donna Rhodes,1937,2017,grafika,1200154.2
44,Porro Velit,Tina Phillips-Bird,1108,2018,fotografia,40110.47
45,Vero Quaerat,Pieter Stashkov,194,2017,rzeźba,5.26
46,Animi Molestiae,Carol Turner,289,2019,obraz,227244.08
47,Animi Quisquam,Leonard Clarke-Smith,122,2023,grafika,98661.3
48,Eveniet Velit,Miss Maureen Riley,1268,2016,fotografia,1927.25
49,Ipsam Aliquid,Robert Murphy,1472,2016,grafika,30927.05
50,Earum Assumenda,Pieter Stashkov,1596,2019,fotografia,161356.87
51,Accusamus Voluptates,Miss Amelia Jones,182,2020,grafika,1249049.98
52,Id Ullam,Pieter Stashkov,1709,2024,rzeźba,24765.06
53,At Aperiam,Mr Lawrence Wood,246,2017,fotografia,41631.96
54,Incidunt Distinctio,Yvonne King-Jones,1370,2025,obraz,68282.67
55,Cum Voluptate,Pieter Stashkov,1799,2021,instalacja,136709.1
56,Soluta Nulla,Dr Michael Butler,365,2020,fotografia,44482.04
57,Consequatur Aspernatur,Dr Bradley Kirk,577,2018,instalacja,367388.81
58,Distinctio Nulla,Caroline Perry,766,2017,obraz,161516.69
59,Placeat Commodi,Pieter Stashkov,1319,2024,grafika,154620.26
60,Temporibus Esse,Ms Debra Ross,1626,2014,grafika,569.93
61,Voluptatibus Consectetur,Pieter Stashkov,1924,2025,instalacja,106080.83
62,Repudiandae Magni,Mr Matthew Reed,1840,2018,instalacja,271335.11
