exhibit_id,name,author,creation_year,acquisition_year,type,value
1,Optio Tempore,Leslie Clarke,1983,1990,instalacja,3918172.9
2,Iure Ipsa,Georgina Russell,1539,1848,rzeźba,2218459.47
3,Ad Corporis,Denis Johnston,1744,1997,grafika,4370032.88
4,Vel Corrupti,Graham Richards,1862,1937,instalacja,1151391.38
5,Exercitationem Earum,Stephen Webster-Morris,1628,1746,instalacja,4350845.81
6,Harum Veritatis,Ms Holly Dean,1738,1797,instalacja,2991059.46
7,Commodi Fugit,Ms Josephine Byrne,1732,1811,instalacja,3626685.36
8,Blanditiis Dolore,Ms Helen Griffin,1552,1558,obraz,719304.65
9,Incidunt Mollitia,Pieter Stashkov,1831,2009,obraz,4915550.86
10,Atque Voluptas,Pieter Stashkov,1520,1655,grafika,2640189.64
11,Quisquam Quos,Katherine Watson-Stewart,2002,2019,rzeźba,3239823.28
12,Vel Asperiores,Alice Herbert,1987,2015,rzeźba,4280772.63
13,Dolore Fugit,Teresa Coleman,1778,1875,grafika,3368047.82
14,Occaecati Id,Lorraine Wilson,1563,1961,fotografia,2856922.6
15,A Et,Sean Dean,1876,1977,grafika,4419659.89
16,Sed Dolor,Denis Wilson-Graham,1856,1868,grafika,2825198.03
17,Ullam Earum,Katie Rees-Jones,1925,1993,fotografia,3685140.22
18,Culpa Dolor,Rebecca Hall-Smith,1699,1718,instalacja,4164475.06
19,Laboriosam Tenetur,Pieter Stashkov,1658,1755,obraz,445577.27
20,Dolorum Cupiditate,Amber Wright,1613,1873,fotografia,1979471.07
21,Inventore Eius,Katherine Smith,1965,1981,obraz,1720238.0
22,Ipsa Deleniti,Dr Jason Blake,1848,1965,grafika,651949.57
23,Quo Accusantium,Alex Barnes,1909,1996,grafika,4823219.7
24,Eum Perferendis,Alice Hussain,1918,1979,fotografia,1331514.47
25,Ea Consequuntur,Victor Stanley-Jones,1723,1777,fotografia,1287650.15
26,Non Soluta,Billy Roberts,1562,1606,fotografia,284212.01
27,Ducimus Quo,Miss Kayleigh Flynn,1927,1955,fotografia,2122974.35
28,Neque Debitis,Dr Harry Curtis,1646,1967,rzeźba,4931023.37
29,Amet Iusto,Louis Briggs,1961,1995,rzeźba,3890836.73
30,Alias Vel,Pieter Stashkov,1677,1818,instalacja,810593.55
31,Alias Odit,Miss Emma Warner,1995,2005,obraz,1239179.96
32,Cumque Ipsam,Nicholas Hunt,1670,1793,grafika,1935848.5
33,Cupiditate Magni,Rosie O'Sullivan-Willis,1898,1956,obraz,1935124.34
34,Tempora Amet,Deborah Smith,1566,1850,obraz,281004.06
35,Sapiente Dolor,Cameron Patel,1627,1821,fotografia,376271.6
36,Sunt Possimus,Pieter Stashkov,1610,1664,instalacja,3391553.29
37,Explicabo Consequuntur,Mr Iain Lynch,1950,1978,rzeźba,2656276.91
38,Quibusdam Rem,Darren Myers-Green,1657,1668,instalacja,2192749.19
39,Ratione Eius,Nicole Quinn,1560,1995,instalacja,2063722.31
40,Praesentium Consequatur,Paige Taylor,1840,1982,instalacja,456023.47
41,Provident Ut,Ms Amelia Andrews,1869,1989,fotografia,1989699.49
42,Veritatis Sequi,Ms Paige Hale,1951,2007,instalacja,843297.42
43,Maxime Molestias,Dr Liam Freeman,1784,1786,grafika,767494.94
44,Adipisci Molestias,Graeme Anderson,1774,1789,instalacja,120245.65
45,Maiores Placeat,Hugh Hill,1716,1949,fotografia,268629.76
46,Aliquam Cum,Mrs Andrea Murray,1782,1799,obraz,1929578.45
47,Perferendis Sint,Dr David Moran,1599,1633,obraz,2484210.51
48,Eos Ullam,Pieter Stashkov,1545,1639,fotografia,1013139.02
49,Aperiam Corporis,Anthony Knowles,1631,2009,fotografia,2284408.54
50,Quam Commodi,William Pearce,1636,1993,rzeźba,1836900.61
51,Quaerat Doloribus,Dr Joshua Harrison,1581,1889,grafika,626909.47
52,Cumque Error,Leigh Thomas,1953,1971,obraz,2011528.33
53,Reprehenderit Quam,Patricia Evans,1774,2007,rzeźba,4502090.76
54,Dolor Quia,Mrs Marian White,1955,2011,instalacja,4980408.78
55,Quis Exercitationem,Jacqueline Roberts-Jackson,1904,1985,instalacja,2686482.07
56,Dolorum Delectus,Abdul Hudson,1780,1797,grafika,3277060.33
57,In Optio,Wayne Kirby,1774,1835,grafika,1918440.13
58,Quae Reiciendis,Katy Barlow,1575,1703,grafika,481177.79
59,Perferendis Quasi,Pieter Stashkov,1634,1705,rzeźba,4075851.19
60,Iste Expedita,Albert Lawrence,1542,1909,obraz,4372105.17
61,Vel Maxime,Arthur Parker,1849,1868,rzeźba,2611448.75
62,Ipsum Modi,Jade Nelson-Kay,1772,1795,obraz,4950391.93
63,Non Quasi,Pieter Stashkov,1600,1950,grafika,1439258.34
64,Quam Quod,Michelle Barrett,1582,2005,fotografia,171157.15
65,Corrupti Veniam,Vincent Hunter,1978,2005,grafika,4621746.75
66,Dolorem Quisquam,Mrs Gail Green,1500,1876,obraz,4213807.71
67,Hic Delectus,Leon Chambers,1902,1926,instalacja,493310.49
68,Nisi Veritatis,Mohammad Bailey-Welch,1601,1868,rzeźba,2699504.5
69,Iste Nulla,Justin Russell,2020,2024,rzeźba,3888658.53
70,Atque Perspiciatis,Pieter Stashkov,1864,2020,obraz,455384.91
71,Numquam Nobis,Denise Roberts,1979,2020,fotografia,3856586.69
72,Repellendus Harum,Brenda Nash,1654,1759,fotografia,3861586.74
73,Facere Voluptas,Charlene Richards,1618,1730,grafika,746360.5
74,Atque Mollitia,Pamela Fox,1622,1801,grafika,359162.88
75,Adipisci Sapiente,Pieter Stashkov,1570,1722,obraz,3219257.28
76,Modi Incidunt,Zoe Ryan,1842,1960,rzeźba,1608063.86
77,Enim Ut,Mr Tony Singh,1869,1913,rzeźba,2476061.36
78,Cumque Culpa,Pieter Stashkov,1598,1900,grafika,3097288.18
79,Iste Odit,Gail Jones,1918,1959,fotografia,3555528.23
80,Molestias Labore,Dr Stephen Richards,2010,2015,grafika,155135.65
81,Quasi Laboriosam,Leslie Lyons,1813,1965,rzeźba,3049354.41
82,Quis Suscipit,Mr Donald Barlow,1755,1760,instalacja,3653729.01
83,Debitis Quaerat,Debra Brown-Henderson,1672,1913,instalacja,778621.01
84,Dolores Optio,Irene Mitchell,1666,1891,obraz,314011.56
85,Eos Ab,Andrea Oliver,1730,1951,obraz,1423786.16
86,Et Rerum,Mr Martin Gibbons,1707,1995,rzeźba,1861068.36
87,Exercitationem Corrupti,Pieter Stashkov,1970,1977,rzeźba,3431835.04
88,Nemo Repellendus,Mr Derek Martin,1809,1822,fotografia,2281347.57
89,Unde Placeat,Dr Samantha Sheppard,1893,1965,instalacja,3143966.4
90,Earum Accusamus,Kimberley Thompson,1502,1919,fotografia,916168.01
91,Corrupti Provident,Pamela Gould,1725,1954,rzeźba,3148387.91
92,Quidem Nisi,Mrs Lorraine Ellis,1626,1762,rzeźba,2076608.34
93,Sed Aut,Miss Lisa Wilson,1775,1882,fotografia,2646334.83
94,Nam Fuga,Dorothy Roberts,1843,1982,fotografia,693536.42
95,Molestias Doloribus,Dr Keith Hussain,1825,1996,obraz,4098475.34
96,Ad Illo,Mr Alexander Hanson,1538,1742,fotografia,4963898.38
97,Deserunt Soluta,Lauren Williams,1952,1972,obraz,566922.35
98,Saepe Velit,Stephen Bond,1933,1954,grafika,4732918.37
99,Occaecati Laboriosam,Sally King,1729,2025,grafika,4873758.89
100,Dicta Ad,Gavin White,1617,2015,fotografia,2813621.19
101,Tenetur Nostrum,Miss Sharon Cooper,1813,1887,obraz,4208583.06
102,Hic Asperiores,Carly Elliott,1974,1998,instalacja,2926590.41
103,At Sed,Martyn Simmons,1790,1992,grafika,4074799.27
104,Eum Labore,Pieter Stashkov,1828,1851,instalacja,981231.77
105,Nisi Ipsa,Suzanne Banks,1639,1998,instalacja,3812867.43
106,Quas Cupiditate,Hayley Clements-Woodward,2019,2025,grafika,4522506.68
107,Et Vero,Pieter Stashkov,1804,1815,instalacja,2980945.19
108,Vitae Dolorem,Pieter Stashkov,1737,1997,rzeźba,1064204.41
109,Quod Tempore,Mr Darren Hargreaves,1895,1926,instalacja,1364016.17
110,Architecto Porro,Benjamin Smith,2007,2017,instalacja,806310.56
111,Unde Fugiat,Pieter Stashkov,1970,2016,fotografia,147521.48
112,Nam Quibusdam,Timothy Kelly,1830,1920,fotografia,3575040.82
113,Possimus Reiciendis,Carl Morris,1634,1886,obraz,2269349.12
114,Perspiciatis Incidunt,Sara Morley,1879,1899,fotografia,2055283.76
115,Iusto Officia,Ruth Stone,1759,1957,fotografia,1849565.4
